,depth_10_count,depth_1_count,depth_2_count,depth_3_count,depth_4_count,depth_5_count,depth_6_count,depth_7_count,depth_8_count,depth_9_count,total_go_terms
CD1A,0,0,1,2,1,0,1,0,0,0,5
KLHL42,0,0,0,0,0,1,0,0,0,0,1
N4BP1,0,0,0,0,0,1,0,0,0,0,1
DET1,0,0,0,0,0,2,0,0,0,0,2
CDKAL1,0,0,1,0,1,1,1,0,0,0,4
EDF1,0,0,1,0,0,1,0,0,0,0,2
XAF1,0,0,1,0,0,0,0,0,0,0,1
HERC4,0,0,1,0,0,0,0,0,0,0,1
APTX,0,0,1,0,0,1,0,0,0,0,2
ZMIZ1,0,0,2,0,0,1,0,0,0,0,3
IL23A,0,0,2,0,0,1,0,0,0,0,3
FBXL3,0,0,0,0,0,1,0,0,0,0,1
FBXL5,0,0,1,0,0,1,0,0,0,0,2
CDSN,0,0,1,1,0,0,0,0,0,0,2
UBE3B,0,0,0,0,1,0,0,0,0,0,1
UBE3D,0,0,0,0,0,1,0,0,0,0,1
ERAP2,0,0,3,0,1,1,0,0,0,0,5
KLHL11,0,0,1,0,0,0,1,0,0,0,2
CD1B,0,0,2,2,1,1,1,1,0,0,8
CD1C,0,0,1,2,1,2,1,1,0,0,8
CARD14,0,0,1,1,0,0,0,0,0,0,2
RNF213,0,0,2,0,0,0,0,0,0,0,2
PUS10,0,0,1,0,0,2,0,0,0,0,3
FBXO11,0,0,1,0,0,2,0,0,0,0,3
KLHL5,0,0,1,1,0,0,1,0,0,0,3
KLHL2,0,0,1,0,2,0,0,0,0,0,3
KLHL3,0,0,1,0,0,1,0,0,0,0,2
XRN2,0,0,1,0,0,1,0,0,0,0,2
RNF144B,0,0,1,0,2,0,0,0,0,0,3
IL21R,0,0,1,2,0,0,0,0,0,0,3
MYBBP1A,0,0,2,0,1,2,0,0,0,0,5
ZNRF2,0,0,2,1,1,2,1,1,0,0,8
UBE2J2,0,0,0,0,2,2,0,0,0,0,4
RAG2,0,0,0,1,0,0,0,0,0,0,1
CD93,0,0,0,1,0,0,1,3,0,0,5
MEX3C,0,0,1,0,0,1,0,0,0,0,2
RNF38,0,0,0,0,0,1,0,0,0,0,1
RNF34,0,0,3,1,0,1,0,1,0,0,6
PRPSAP1,0,0,1,0,0,0,0,0,0,0,1
MICA,0,0,2,2,0,0,0,0,0,0,4
GBP2,0,0,2,0,0,4,1,0,0,0,7
GBP1,0,0,2,1,1,3,1,0,0,0,8
GBP6,0,0,0,0,0,0,2,0,0,0,2
STAT2,0,0,1,2,1,1,0,0,0,0,5
CAND2,0,0,1,0,0,1,0,0,0,0,2
CSNK2A3,0,0,1,0,0,1,0,1,0,0,3
FZR1,0,0,0,0,1,1,1,0,0,0,3
BTBD6,0,0,1,0,0,0,0,0,0,0,1
BTBD1,0,0,0,0,0,0,1,0,0,0,1
CCHCR1,0,0,0,0,0,1,0,0,0,0,1
KRT37,0,0,0,0,0,1,1,0,0,0,2
PRTN3,0,0,2,1,1,1,1,0,0,0,6
AZU1,0,0,3,0,1,0,1,0,1,0,6
CD160,0,0,2,1,0,0,0,0,0,0,3
BYSL,0,0,2,0,2,0,0,0,0,0,4
ZNRF4,0,0,1,0,1,1,0,0,0,0,3
ZC3H15,0,0,0,0,0,1,0,0,0,0,1
NSRP1,0,0,0,0,0,1,0,0,0,0,1
FKBP15,0,0,1,1,0,0,0,0,1,0,3
RRP36,0,0,0,0,1,0,0,0,0,0,1
PAG1,0,0,0,1,1,0,0,0,0,0,2
RGS2,0,0,1,1,1,3,0,0,0,0,6
TRMT6,0,0,0,0,0,1,1,0,0,0,2
NCLN,0,0,1,0,1,0,0,0,0,0,2
ESF1,0,0,2,0,0,1,0,0,0,0,3
FASTKD2,0,0,0,0,0,2,0,0,0,0,2
MANBA,0,0,0,1,1,0,0,0,1,0,3
CD38,0,0,2,1,2,0,1,0,0,0,6
ZPR1,0,0,2,0,0,1,0,0,0,0,3
ZC3H14,0,0,1,0,0,1,2,0,0,0,4
CLIC5,0,0,0,2,1,2,1,0,0,0,6
TSHZ3,0,0,0,2,0,1,0,0,0,0,3
BRF2,0,0,0,1,0,1,0,0,0,0,2
INPP4A,0,0,1,1,1,1,0,2,0,0,6
CPNE5,0,0,1,1,0,0,1,0,0,0,3
HAND1,0,0,2,1,0,2,0,0,0,0,5
IRF2BPL,0,0,1,0,0,1,0,0,0,0,2
ATE1,0,0,1,0,0,1,0,0,0,0,2
TIMM21,0,0,0,0,1,1,1,0,0,0,3
CEACAM6,0,0,3,1,1,0,0,0,1,0,6
PHOX2B,0,0,1,0,0,0,0,0,0,0,1
SIX1,0,0,1,0,0,1,0,0,0,0,2
LGALS1,0,0,3,1,1,1,1,0,0,0,7
KRT20,0,0,1,0,0,1,0,0,0,0,2
GAL3ST2,0,0,1,0,1,0,0,0,0,0,2
NKTR,0,0,1,1,0,1,0,0,0,0,3
REG1A,0,0,1,0,0,0,1,0,0,0,2
THPO,0,0,2,0,0,0,0,0,0,0,2
YBX3,0,0,2,0,0,1,1,0,0,0,4
PRRX1,0,0,0,0,0,1,0,0,0,0,1
ICAM3,0,0,0,1,0,0,1,0,0,0,2
GIMAP2,0,0,0,0,0,1,0,0,0,0,1
XBP1,0,0,1,1,1,2,0,0,0,0,5
TNFSF9,0,0,1,1,0,0,0,0,0,0,2
LAG3,0,0,2,2,0,0,0,0,0,0,4
IL1RL1,0,0,2,2,0,0,0,0,0,0,4
CD70,0,0,0,1,0,0,1,0,0,0,2
ICAM5,0,0,0,1,0,0,0,0,0,0,1
MADCAM1,0,0,1,1,0,0,0,0,0,0,2
CX3CL1,0,0,5,2,0,0,0,0,0,0,7
KLRK1,0,0,1,2,0,0,0,0,0,0,3
CEACAM1,0,0,2,1,2,1,2,2,0,0,10
CEACAM8,0,0,2,1,0,0,1,2,1,0,7
SLC6A7,0,0,1,1,1,0,0,0,0,0,3
STK10,0,0,1,1,0,0,1,1,0,0,4
SELPLG,0,0,1,1,0,1,0,0,0,0,3
ST6GALNAC1,0,0,0,0,0,1,0,0,0,0,1
CD4,0,0,0,2,2,1,0,0,1,0,6
HMGCLL1,0,0,2,0,1,1,0,0,0,0,4
ISOC1,0,0,1,0,0,0,1,0,0,0,2
OXCT1,0,0,0,0,0,1,0,0,0,0,1
DAO,0,0,3,1,0,0,3,0,0,0,7
CBLN4,0,0,2,1,0,0,0,0,0,0,3
CETP,0,0,2,0,1,1,1,0,0,0,5
CWH43,0,0,2,0,0,1,0,0,0,0,3
ABCD1,0,0,3,0,2,0,1,2,0,0,8
PEX16,0,0,1,0,1,1,1,1,0,0,5
CYP26B1,0,0,1,0,1,0,0,0,0,0,2
ASIC2,0,0,0,1,0,0,1,0,0,0,2
PDZD4,0,0,0,1,0,0,0,0,0,0,1
SYT13,0,0,0,1,1,1,0,0,2,1,6
SCG3,0,0,1,0,0,1,2,0,0,0,4
APLP1,0,0,1,1,1,1,0,0,0,0,4
ITGA2,0,0,1,2,0,1,0,0,0,0,4
ITGA7,0,0,1,2,0,1,0,0,0,0,4
GRP,0,0,2,0,0,0,0,0,0,0,2
ART3,0,0,2,1,0,0,1,0,0,0,4
ART4,0,0,2,1,1,0,0,0,0,0,4
IGFBP2,0,0,2,0,1,0,1,0,0,0,4
IGFBP7,0,0,2,0,0,1,1,0,0,0,4
GJA8,0,0,0,1,0,0,0,0,0,0,1
CD99,0,0,1,1,0,0,0,0,0,0,2
TMEM145,0,0,1,0,0,0,0,0,0,0,1
MLANA,0,0,0,1,2,1,0,1,0,0,5
B3GAT1,0,0,2,0,2,1,0,0,0,0,5
A1BG,0,0,2,1,0,0,1,0,0,0,4
CDX2,0,0,0,0,0,1,0,0,0,0,1
UTRN,0,0,2,1,0,3,1,0,0,0,7
LY6G6C,0,0,2,1,0,0,0,0,0,0,3
LGALS9,0,0,2,0,0,1,0,0,0,0,3
LGALS4,0,0,1,1,0,0,0,0,0,0,2
GCNT3,0,0,1,0,0,1,1,0,0,0,3
PIGR,0,0,1,1,0,0,1,0,1,0,4
RAET1L,0,0,2,2,1,1,0,0,0,0,6
ALPI,0,0,2,1,0,0,0,0,0,0,3
ALPL,0,0,3,2,1,0,2,0,0,0,8
GOLGA8A,0,0,0,0,1,3,0,0,0,0,4
GOLGA8B,0,0,0,0,1,3,0,0,0,0,4
CAP1,0,0,2,1,0,0,1,0,0,0,4
ETHE1,0,0,1,0,0,1,0,0,0,0,2
HNF4A,0,0,1,0,0,1,0,0,0,0,2
APOA2,0,0,2,0,0,3,3,0,0,0,8
LYPD8,0,0,3,1,0,0,0,0,0,0,4
MFGE8,0,0,3,1,0,2,1,1,0,0,8
NOVA1,0,0,1,0,1,1,0,0,0,0,3
MB,0,0,0,0,0,0,1,0,0,0,1
CTSE,0,0,0,0,1,0,0,0,0,0,1
POSTN,0,0,1,1,1,0,0,0,0,0,3
HVCN1,0,0,1,1,1,0,1,2,0,0,6
TOMM34,0,0,1,0,1,1,1,0,0,0,4
B3GNT3,0,0,0,1,0,1,0,0,0,0,2
CXCL1,0,0,2,0,0,0,0,0,0,0,2
ST8SIA5,0,0,0,0,0,1,0,0,0,0,1
KRT5,0,0,2,0,0,1,2,0,0,0,5
KRT4,0,0,0,0,0,1,0,0,0,0,1
KRT8,0,0,3,0,1,1,2,1,0,0,8
LALBA,0,0,1,0,0,2,0,0,0,0,3
FOXG1,0,0,0,0,0,1,0,0,0,0,1
ST8SIA6,0,0,0,0,0,1,0,0,0,0,1
SLC44A4,0,0,0,1,1,0,1,0,0,0,3
KLK6,0,0,4,0,1,3,0,0,1,0,9
PRF1,0,0,2,1,0,1,0,0,0,0,4
TNFRSF9,0,0,0,2,0,0,0,0,0,0,2
MISP,0,0,0,2,2,0,0,0,0,0,4
SAA1,0,0,1,0,0,0,1,1,0,0,3
MDGA1,0,0,3,1,0,1,0,0,0,0,5
ADAM12,0,0,1,1,0,0,0,0,0,0,2
APOB,0,0,4,1,2,4,7,0,1,0,19
REG3A,0,0,3,0,0,0,0,0,0,0,3
S100A9,0,0,4,1,1,1,1,0,0,0,8
TMC5,0,0,0,1,0,0,1,0,0,0,2
CCSAP,0,0,0,1,0,0,0,0,0,0,1
STX7,0,0,2,2,0,0,1,3,0,1,9
MUC7,0,0,0,1,0,1,1,0,0,0,3
MUC4,0,0,2,2,0,1,1,0,0,0,6
XRCC1,0,0,0,0,0,1,0,0,0,0,1
CD274,0,0,0,2,0,0,1,2,0,0,5
CSPG4,0,0,1,1,1,2,1,0,0,0,6
MEN1,0,0,1,2,0,2,1,1,0,0,7
KRT19,0,0,0,1,1,1,1,0,0,0,4
SERPINB3,0,0,3,1,0,1,2,0,0,0,7
MAGED4,0,0,0,0,0,1,0,0,0,0,1
IVL,0,0,1,1,0,0,1,0,0,0,3
MAGEA12,0,0,0,0,0,1,0,0,0,0,1
POMC,0,0,3,0,0,0,0,0,0,0,3
GPRC5A,0,0,1,1,2,1,1,0,0,0,6
ACTN2,0,0,3,0,0,0,3,1,0,0,7
CPM,0,0,3,1,0,0,1,0,0,0,5
CHL1,0,0,2,2,1,0,1,0,0,0,6
KRT15,0,0,0,0,0,2,1,0,0,0,3
KRT10,0,0,4,0,1,2,1,1,0,0,9
WFDC2,0,0,1,0,0,0,1,0,0,0,2
SDC1,0,0,0,2,0,1,1,0,0,0,4
VIP,0,0,2,0,1,0,0,0,0,0,3
RAB11B,0,0,0,0,0,1,1,2,1,0,5
CLDN3,0,0,2,1,2,2,1,0,0,0,8
CLDN4,0,0,1,1,4,1,1,0,0,0,8
SGCA,0,0,1,0,3,1,0,0,0,0,5
NDRG4,0,0,1,1,3,0,0,0,0,0,5
KLKB1,0,0,2,1,0,0,1,0,0,0,4
CEACAM19,0,0,1,0,0,0,0,0,0,0,1
GUSB,0,0,3,0,1,0,1,0,0,0,5
EDAR,0,0,1,1,0,0,0,0,0,0,2
CRP,0,0,2,0,0,0,0,0,0,0,2
TNFRSF18,0,0,1,2,0,0,0,0,0,0,3
SPRN,0,0,3,2,0,1,0,0,0,0,6
NUMA1,0,0,1,3,1,2,1,0,0,0,8
PAX8,0,0,0,0,0,1,0,0,0,0,1
S100A4,0,0,3,0,0,1,1,0,0,0,5
CD63,0,0,1,1,1,0,2,3,3,0,11
CD68,0,0,1,1,0,0,0,3,1,0,6
CELA1,0,0,1,0,0,0,0,0,0,0,1
BTF3,0,0,3,2,1,1,0,0,0,0,7
PSCA,0,0,2,2,0,0,1,0,0,0,5
CLEC3A,0,0,1,0,0,0,0,0,0,0,1
HSPB9,0,0,1,0,1,1,0,0,0,0,3
SCGB2A1,0,0,1,0,0,0,0,0,0,0,1
SCGB2A2,0,0,1,0,0,0,0,0,0,0,1
EWSR1,0,0,1,1,0,1,0,0,0,0,3
PDCD1,0,0,0,2,0,0,0,0,0,0,2
GPC1,0,0,4,3,1,1,1,1,0,0,11
GPC3,0,0,2,1,0,2,0,0,0,0,5
PRND,0,0,1,2,0,0,0,0,0,0,3
FUT2,0,0,0,0,1,2,1,0,0,0,4
MAG,0,0,0,1,1,0,0,0,0,0,2
SLC7A5,0,0,1,1,5,1,1,1,0,0,10
RGPD4,0,0,1,1,0,0,0,0,0,0,2
BPIFA1,0,0,2,0,0,0,0,0,0,0,2
NRN1L,0,0,3,1,0,0,0,0,0,0,4
CD47,0,0,1,1,0,0,1,2,0,0,5
CD46,0,0,1,1,0,0,2,0,0,0,4
CALR,0,0,7,1,2,5,3,1,1,0,20
KRT18,0,0,5,0,0,3,2,0,0,0,10
STX12,0,0,2,0,3,2,0,2,2,2,13
TEX101,0,0,2,1,0,1,0,1,0,0,5
TAGLN,0,0,1,0,0,0,0,0,0,0,1
ALPP,0,0,1,1,0,0,0,0,0,0,2
PTCRA,0,0,0,1,0,0,0,0,0,0,1
FCGR2A,0,0,0,2,0,0,1,0,0,0,3
AGR3,0,0,0,0,1,1,0,0,0,0,2
CALCA,0,0,3,0,0,0,0,0,0,0,3
ENO2,0,0,2,2,0,0,1,0,0,0,5
TRIM29,0,0,0,0,0,1,0,1,0,0,2
TECTA,0,0,2,2,0,0,1,0,0,0,5
IDO1,0,0,1,0,0,0,0,0,0,0,1
LYPD4,0,0,2,1,0,1,0,0,0,0,4
LYPD5,0,0,2,1,0,0,0,0,0,0,3
LYPD2,0,0,2,1,0,0,0,0,0,0,3
LYPD3,0,0,3,1,0,0,0,0,0,0,4
LYPD1,0,0,2,2,0,0,0,0,0,0,4
ULBP2,0,0,3,2,1,1,0,0,0,0,7
CSF3R,0,0,2,2,0,0,1,1,0,0,6
CXCL12,0,0,1,1,0,0,1,0,0,0,3
TPBG,0,0,0,1,0,1,0,0,0,0,2
TNFRSF4,0,0,1,2,0,0,0,0,0,0,3
PRAME,0,0,1,1,0,2,0,0,0,0,4
MME,0,0,4,3,2,1,3,0,1,0,14
MACC1,0,0,1,0,0,1,0,0,0,0,2
FCGRT,0,0,1,1,0,0,1,0,0,0,3
SFTPD,0,0,2,0,1,0,0,1,0,1,5
NAAA,0,0,2,0,0,0,1,1,0,0,4
LY6G6D,0,0,1,3,0,1,0,1,0,0,6
FUT4,0,0,1,0,2,2,0,0,0,0,5
TYMS,0,0,2,0,0,3,0,0,0,0,5
TYMP,0,0,1,0,0,0,0,0,0,0,1
CTSB,0,0,4,1,1,0,1,2,1,0,10
CXCL3,0,0,2,0,0,0,0,0,0,0,2
EMD,0,0,3,0,1,3,1,0,0,0,8
EMB,0,0,0,2,0,1,0,0,0,0,3
PDPN,0,0,1,1,3,4,1,0,0,0,10
ALDH16A1,0,0,1,0,0,0,0,0,0,0,1
BIRC5,0,0,2,1,0,1,1,1,0,0,6
ANKRD11,0,0,0,0,0,1,0,0,0,0,1
NRCAM,0,0,2,2,0,1,1,0,0,0,6
LY6E,0,0,2,2,0,0,0,0,0,0,4
CEP70,0,0,1,1,0,0,0,0,0,0,2
GPLD1,0,0,3,1,1,0,1,1,0,0,7
MYBPH,0,0,1,0,0,0,0,0,0,0,1
GDF15,0,0,3,0,0,2,1,0,0,0,6
MSTN,0,0,1,0,0,0,0,0,0,0,1
ITGA6,0,0,0,2,0,1,1,0,0,0,4
HAO1,0,0,0,0,1,0,0,0,0,0,1
PGF,0,0,3,0,0,0,0,0,0,0,3
CA9,0,0,1,1,1,2,0,0,0,0,5
CA3,0,0,1,0,0,0,0,0,0,0,1
VTCN1,0,0,0,1,0,0,0,0,0,0,1
FOLR1,0,0,1,2,3,4,1,2,1,0,14
SLAMF1,0,0,0,2,0,0,1,0,0,0,3
MGAT3,0,0,1,0,0,1,0,0,0,0,2
MGAT5,0,0,1,0,0,2,1,0,0,0,4
KLK9,0,0,1,0,0,0,0,0,1,0,2
MMP1,0,0,1,1,0,0,0,0,0,0,2
MYOM2,0,0,1,0,0,0,0,0,0,0,1
A2M,0,0,2,0,0,0,1,0,0,0,3
SNTB1,0,0,1,1,2,1,0,0,0,0,5
TNFRSF14,0,0,0,2,0,0,0,0,0,0,2
PIP,0,0,2,0,0,1,1,0,0,0,4
BCHE,0,0,2,1,0,1,0,0,0,0,4
TG,0,0,2,0,0,0,0,0,0,0,2
KCNJ10,0,0,2,1,1,1,0,0,0,0,5
AVP,0,0,2,0,0,0,0,0,2,0,4
CARTPT,0,0,1,1,0,0,0,0,0,0,2
OPCML,0,0,2,1,0,0,0,0,0,0,3
SSTR4,0,0,0,1,1,0,0,0,0,0,2
MYOG,0,0,1,0,0,1,0,0,0,0,2
ITGB4,0,0,0,1,3,2,1,0,0,0,7
TAAR6,0,0,0,1,0,0,0,0,0,0,1
DMD,0,0,2,2,4,4,0,0,0,0,12
EML4,0,0,3,0,0,0,0,0,0,0,3
CNN1,0,0,0,0,0,0,1,0,0,0,1
SNTA1,0,1,1,1,4,2,0,0,0,0,9
CD83,0,0,0,2,0,0,0,0,0,0,2
S100P,0,0,2,0,0,2,1,0,0,0,5
PPY,0,0,3,0,0,0,0,0,0,0,3
ATP2B4,0,1,3,1,3,1,1,0,0,0,10
MAPK8IP1,0,0,2,1,2,1,0,0,0,0,6
MAPK8IP2,0,0,1,0,1,0,0,0,0,0,2
PPP1R14D,0,0,1,0,0,0,0,0,0,0,1
NOL3,0,0,2,0,0,0,1,0,0,0,3
DPYD,0,0,1,0,0,0,0,0,0,0,1
TCL1A,0,0,0,0,0,2,0,0,0,0,2
PRL,0,0,3,0,0,1,0,0,0,0,4
ARG1,0,0,4,0,0,1,0,0,0,0,5
KLK1,0,0,1,0,0,1,1,0,1,0,4
KLK2,0,0,2,0,0,0,1,0,1,0,4
KLK3,0,0,2,1,0,1,1,0,1,0,6
KLK4,0,0,2,0,0,0,0,0,1,0,3
MDGA2,0,0,2,1,0,0,0,0,0,0,3
TMEM45B,0,0,0,0,0,1,1,1,0,0,3
TK1,0,0,0,0,0,1,0,0,0,0,1
MSLN,0,0,4,1,0,2,0,0,0,0,7
CXADR,0,0,3,1,3,0,1,0,0,0,8
ST3GAL3,0,0,1,0,1,1,0,0,0,0,3
ST3GAL2,0,0,2,0,1,1,0,0,0,0,4
ST3GAL1,0,0,1,0,1,3,1,0,0,0,6
ST3GAL5,0,0,1,0,0,1,0,0,0,0,2
ST3GAL4,0,0,2,0,1,1,0,0,0,0,4
SLC16A1,0,0,2,2,4,0,1,0,0,0,9
GPS1,0,0,1,0,0,1,0,0,0,0,2
FCAR,0,0,1,1,0,0,0,3,0,0,5
EDA2R,0,0,0,1,0,0,0,0,0,0,1
NNMT,0,0,1,0,0,0,0,0,0,0,1
C3,0,0,2,1,0,1,1,0,0,0,5
KLK12,0,0,2,0,0,0,0,0,1,0,3
KLK13,0,0,3,0,0,0,0,0,1,0,4
PTH,0,0,2,0,0,0,0,0,0,0,2
MUC5B,0,0,1,2,1,1,1,0,0,0,6
GSTP1,0,0,4,0,0,1,1,0,0,0,6
RAET1G,0,0,2,2,1,1,0,0,0,0,6
CEACAM16,0,0,1,0,0,0,0,0,0,0,1
THBD,0,0,2,2,1,2,0,0,0,0,7
CTHRC1,0,0,3,0,1,0,0,0,0,0,4
ADRM1,0,0,1,1,0,0,0,0,0,0,2
ACE2,0,0,3,1,3,2,2,0,0,0,11
CTAG1A,0,0,1,0,0,0,0,0,0,0,1
MAGEA4,0,0,0,0,0,1,0,0,0,0,1
CD40,0,0,0,2,1,1,1,0,0,0,5
PVR,0,0,4,1,0,1,0,0,0,0,6
ADAM28,0,0,1,1,0,0,0,0,0,0,2
IL18,0,0,2,0,0,0,0,0,0,0,2
IL15,0,0,3,0,0,1,0,0,0,0,4
ANXA2,0,0,6,3,3,2,1,2,1,0,18
CSH2,0,0,1,0,0,1,0,0,0,0,2
CSH1,0,0,2,0,0,1,0,0,0,0,3
SSX2,0,0,0,0,0,1,0,0,0,0,1
DBT,0,0,1,0,0,3,0,0,0,0,4
PMS2,0,0,0,1,0,1,0,0,0,0,2
KRT7,0,0,1,0,0,1,1,1,0,0,4
NTNG1,0,0,2,1,0,1,0,0,0,0,4
NTNG2,0,0,2,1,0,1,0,0,0,0,4
THY1,0,0,1,3,2,2,2,0,0,0,10
MUC17,0,0,1,2,1,1,0,0,0,0,5
MUC16,0,0,0,2,0,1,1,0,0,0,4
WDTC1,0,0,1,0,0,0,1,0,0,0,2
EBAG9,0,0,0,0,0,1,0,0,1,0,2
AMACR,0,0,1,1,1,0,1,0,0,0,4
ANXA1,0,0,6,1,3,2,1,1,0,0,14
CNTN3,0,0,2,1,1,0,0,0,0,0,4
CNTN5,0,0,2,1,0,2,0,0,0,0,5
DAG1,0,0,4,2,5,5,1,0,0,0,17
POU2F1,0,0,0,1,1,2,0,0,0,0,4
CD6,0,0,1,1,0,0,0,0,0,0,2
SERPINC1,0,0,2,1,0,1,1,0,0,0,5
LAMC2,0,0,3,0,0,0,0,0,0,0,3
TCHP,0,0,1,2,1,2,0,1,0,0,7
UCHL1,0,0,1,0,1,0,1,0,0,0,3
VPS33B,0,0,3,1,0,1,1,5,1,0,12
VPS33A,0,0,1,1,0,0,1,3,1,0,7
RNF43,0,0,0,2,1,0,0,0,0,0,3
FXYD3,0,0,0,1,1,0,1,0,0,0,3
RAB7A,0,0,0,2,2,2,4,5,1,0,16
EFEMP1,0,0,2,1,0,0,1,0,0,0,4
TMEFF2,0,0,2,0,0,0,0,0,0,0,2
IGHV4-38-2,0,0,1,1,0,0,0,0,0,0,2
ANPEP,0,0,2,2,0,1,2,1,0,0,8
F3,0,0,3,2,1,0,0,0,0,0,6
F8,0,0,2,1,0,3,0,0,1,0,7
F9,0,0,2,1,0,2,1,0,0,0,6
ZNF648,0,0,0,0,0,1,0,0,0,0,1
HGD,0,0,0,0,0,0,1,0,0,0,1
LSAMP,0,0,2,1,0,0,0,0,0,0,3
IGF2BP3,0,0,1,0,0,1,0,1,0,0,3
CD109,0,0,3,1,0,0,0,1,0,0,5
CD247,0,0,1,1,0,1,1,0,0,0,4
PTHLH,0,0,3,0,0,1,0,0,0,0,4
BST1,0,0,2,1,1,0,1,1,0,0,6
ICAM2,0,0,1,1,1,0,0,0,0,0,3
ICAM1,0,0,2,2,1,0,1,0,0,0,6
LY6D,0,0,4,1,0,0,0,0,0,0,5
LY6K,0,0,2,1,1,0,0,0,0,0,4
LY6H,0,0,2,2,0,0,0,0,0,0,4
GAL,0,0,3,1,0,0,0,0,1,0,5
SERPINA7,0,0,2,0,0,0,1,0,0,0,3
CELA3B,0,0,1,0,0,0,0,0,0,0,1
NEGR1,0,0,2,1,0,0,0,0,0,0,3
TSPAN1,0,0,3,1,1,0,1,1,0,0,7
TSPAN8,0,0,0,1,0,0,1,0,0,0,2
LEPROTL1,0,0,1,0,0,0,0,1,0,0,2
TACSTD2,0,0,3,0,1,1,1,0,0,0,6
REEP5,0,0,0,0,1,2,0,0,0,0,3
HNRNPM,0,0,3,1,0,2,1,1,0,0,8
CD52,0,0,4,1,0,0,0,0,0,0,5
CD55,0,0,2,1,1,2,2,1,0,0,9
CD58,0,0,1,1,0,0,2,1,0,0,5
CD59,0,0,2,2,1,2,1,3,0,0,11
UGT1A8,0,0,0,0,1,1,0,0,0,0,2
UGT1A6,0,0,0,0,2,1,0,0,0,0,3
LRG1,0,0,3,0,1,0,1,0,0,0,5
CD163,0,0,1,2,0,0,1,0,0,0,4
SLPI,0,0,2,0,0,1,1,0,0,0,4
MUC6,0,0,1,2,0,1,0,0,0,0,4
CLEC2A,0,0,0,2,0,0,0,0,0,0,2
CLEC2B,0,0,0,1,0,1,0,0,0,0,2
TOP1,0,0,1,0,0,1,0,1,0,0,3
CD40LG,0,0,2,2,0,1,0,0,0,0,5
MAGEA1,0,0,1,1,0,1,0,0,0,0,3
FXN,0,0,2,0,0,1,1,0,0,0,4
CHI3L1,0,0,4,1,0,1,1,0,0,0,7
IGLC7,0,0,2,6,0,0,0,0,0,0,8
EPS8L3,0,0,1,1,0,1,0,0,0,0,3
ST6GAL2,0,0,0,0,1,2,0,0,0,0,3
CD33,0,0,0,2,0,1,1,2,0,0,6
PLET1,0,0,1,2,1,0,0,0,0,0,4
LYPD6B,0,0,2,1,0,0,0,0,0,0,3
CD209,0,0,3,3,0,0,0,0,0,0,6
FCGR3B,0,0,1,2,0,0,2,0,0,0,5
ALDH1A1,0,0,1,0,0,0,1,0,0,0,2
SPINK1,0,0,0,0,0,0,1,0,0,0,1
HAVCR2,0,0,0,3,0,0,0,0,0,0,3
CYP2A13,0,0,1,0,2,0,0,0,0,0,3
CYGB,0,0,1,0,0,1,0,0,0,0,2
SCT,0,0,2,0,0,0,0,0,0,0,2
HP,0,0,3,0,0,0,1,0,0,0,4
ADA,0,0,1,3,0,1,0,1,0,0,6
PODXL,0,0,2,1,3,2,1,0,0,0,9
TFF3,0,0,2,0,0,0,0,0,0,0,2
TMPRSS2,0,0,1,1,0,0,1,0,0,0,3
ANO1,0,0,1,1,1,0,1,0,0,0,4
PPARD,0,0,1,0,0,1,0,0,0,0,2
SPDEF,0,0,0,0,0,1,0,0,0,0,1
GADD45A,0,0,1,0,0,1,0,0,0,0,2
GP2,0,0,3,2,2,0,1,1,0,0,9
GK,0,0,0,0,0,1,2,0,0,0,3
TPO,0,0,2,1,0,0,0,0,0,0,3
SLC2A1,0,0,2,2,3,1,1,2,1,0,12
CEACAM7,0,0,3,1,1,0,0,0,0,0,5
ENG,0,0,3,2,0,0,0,0,0,0,5
TIGD7,0,0,0,0,0,1,0,0,0,0,1
NTM,0,0,2,1,0,0,0,0,0,0,3
KNG1,0,0,2,1,0,1,1,0,0,0,5
LCN8,0,0,1,0,0,0,0,0,0,0,1
TIGIT,0,0,0,1,0,0,0,0,0,0,1
PRSS21,0,0,5,1,0,0,0,0,0,0,6
VIPAS39,0,0,2,0,0,1,0,1,0,0,4
ST8SIA3,0,0,0,0,0,1,0,0,0,0,1
ST8SIA1,0,0,1,0,0,1,0,0,0,0,2
SPACA4,0,0,3,1,0,0,2,0,0,0,6
LCT,0,0,0,1,1,0,0,0,0,0,2
CYP2A7,0,0,1,0,2,0,0,0,0,0,3
CYP2A6,0,0,1,0,2,0,0,1,0,0,4
SLC26A3,0,0,1,1,1,1,0,0,0,0,4
SDC2,0,0,1,1,0,2,0,0,0,0,4
SGCD,0,0,0,1,2,1,0,0,0,0,4
DDX53,0,0,0,0,1,0,0,0,0,0,1
TECTB,0,0,4,1,0,0,0,0,0,0,5
PTGER4,0,0,1,1,0,0,0,0,0,0,2
VNN2,0,0,2,1,0,0,0,0,0,0,3
VNN1,0,0,3,1,0,0,0,0,1,0,5
CADM1,0,0,0,2,2,0,0,0,0,0,4
MAGEA9,0,0,0,0,0,1,0,0,0,0,1
TNFRSF8,0,0,1,1,0,0,1,0,0,0,3
AQP4,0,0,2,2,1,0,1,0,0,0,6
NDRG1,0,0,2,2,0,1,1,1,0,0,7
SYNE1,0,0,3,0,1,5,1,1,0,0,11
